character;bf_success;bf_failure;bm_success;bm_failure;kmp_success;kmp_failure
' ∫ ';0;31;0;9;0;31
' ª ';0;35;0;6;0;35
' º ';0;43;0;7;0;43
' Ω ';0;50;0;15;0;50
' æ ';0;41;0;11;0;41
' ø ';0;46;0;7;0;46
' ¿ ';0;48;0;10;0;48
' ¡ ';0;28;0;9;0;28
' ¬ ';0;33;0;7;0;33
' √ ';0;33;0;6;0;33
' ƒ ';0;36;0;13;0;36
' ≈ ';0;46;0;9;0;46
' ∆ ';0;36;0;12;0;36
' « ';0;34;0;9;0;34
' » ';0;41;0;11;0;41
' … ';0;24;0;4;0;24
'   ';0;42;0;6;0;42
' À ';0;42;0;11;0;42
' Ã ';0;40;0;6;0;40
' Õ ';0;39;0;6;0;39
' Œ ';0;46;0;10;0;46
' œ ';0;48;0;14;0;49
' – ';0;34;0;4;0;34
' — ';0;44;0;12;0;44
' “ ';0;33;0;8;0;33
' ” ';0;37;0;9;0;37
' ‘ ';0;32;0;8;0;32
' ’ ';0;34;0;10;0;34
' ÷ ';0;40;0;6;0;40
' ◊ ';0;45;0;10;0;45
' ÿ ';0;42;0;7;0;42
' Ÿ ';0;36;0;9;0;36
' ⁄ ';0;47;0;6;0;47
' € ';0;37;0;13;0;37
' ‹ ';0;34;0;8;0;34
' › ';0;24;0;7;0;24
' ﬁ ';0;38;0;8;0;38
' ﬂ ';0;35;0;14;0;35
' ‡ ';0;50;0;13;0;50
' · ';0;29;0;8;0;29
' ‚ ';0;29;0;10;0;29
' „ ';0;37;0;7;0;37
' ‰ ';0;49;0;11;0;49
' Â ';0;42;0;13;0;42
' Ê ';0;37;0;7;0;37
' Á ';0;46;0;16;0;46
' Ë ';0;46;0;17;0;47
' È ';0;27;0;5;0;27
' Í ';0;38;0;10;0;38
' Î ';0;43;0;13;0;43
' Ï ';0;33;0;9;0;33
' Ì ';0;38;0;13;0;38
' Ó ';0;39;0;4;0;39
' Ô ';0;40;0;16;0;40
'  ';0;49;0;15;0;49
' Ò ';0;34;0;6;0;34
' Ú ';0;44;0;11;0;44
' Û ';0;45;0;11;0;45
' Ù ';0;42;0;13;0;42
' ı ';0;45;0;12;0;45
' ˆ ';0;41;0;8;0;41
' ˜ ';0;51;0;19;0;51
' ¯ ';0;38;0;7;0;38
' ˘ ';0;44;0;14;0;44
' ˙ ';0;41;0;10;0;41
' ˚ ';0;41;0;14;0;41
' ¸ ';0;38;0;13;0;38
' ˝ ';0;33;0;8;0;33
' ˛ ';0;34;0;7;0;34
' ˇ ';0;39;0;10;0;39

bf_total;10026
bm_total;2523
kmp_total;10029
