character;bf_success;bf_failure;bm_success;bm_failure;kmp_success;kmp_failure
' A ';11;0;0;0;8;0
' G ';8;9;0;0;8;0
' C ';4;3;0;0;4;0
' T ';0;7;0;4;0;8

bf_total;42
bm_total;4
kmp_total;28
